"","catchment_no","criteria","mean_nrmse","mean_r2","mean_nse","mean_kge","n_windows","sd_windows","mean_delta1","mean_sigma1","sd_delta1","sd_sigma1","mean_delta2","mean_sigma2","sd_delta2","sd_sigma2","median_mod_kge","median_mod_delta1","median_mod_sigma1","median_mod_delta2","median_mod_sigma2","longitude","latitude","region"
"56",1034,best_rmse,2.39758028140476,-0.174453039010982,-0.174453039010982,0.128531324661601,2,0,0.0904877305114755,5.01675225930612,0.145745580803627,10.0447254973865,0.0156557654735958,5.20394723370906,0.024531738846238,8.72655774335505,0.215641275600454,0.342195496121484,0.0877747704269733,0.0528003822257345,7.69607850422722,-114.278739929,50.7711296082,n.a.
"57",1035,best_aic,1.70178739503643,0.0755622454113077,0.0755622454113077,0.281915938064408,2,0,0.0674667035464644,10.8696144259983,0.134512068627858,17.2431464923827,0.00641958073967564,5.77862237199532,0.0109685927679542,8.57180022174188,0.32983751844382,0.000243781027232401,9.59861239324841,4.96033487853947e-05,0.112420557837517,-114.244911194,50.6885490417,n.a.
"58",1035,best_bic,1.67234910959475,0.092275442837533,0.092275442837533,0.285019872335099,2,0,0.0337675243742982,9.86064512871055,0.0517272174519301,13.0105458382415,0.00729465824097583,4.64579893511062,0.0194818595692432,6.61980457687302,0.339221322198732,0.0260105398336345,3.02598700223319,0.00676288517239219,0.0509790722989866,-114.244911194,50.6885490417,n.a.
"59",1035,best_rmse,1.77639084130876,0.12920028329903,0.12920028329903,0.25982105828428,2,0,0.0695124746258615,13.0775811613613,0.115251247909871,14.4186802447124,0.00832196944765849,4.42899838102627,0.0174872434039893,6.48897642641127,0.214289146619857,0.0521838473796549,12.260367967672,0.00065327128641148,0.0874749895839514,-114.244911194,50.6885490417,n.a.
"60",1036,best_aic,1.36618578856382,0.0983906417712847,0.0983906417712847,0.14731450802947,2,0,0.0376985693106257,13.9925930370285,0.0635288950632075,18.0073800896812,0.0099635430328718,6.57098862024854,0.0184463255856009,10.5084342313203,0.132078078066441,0.00702136298314252,7.17212608456974,0.00189113367819136,0.0895874929157324,-114.500717163,50.4050598145,n.a.
"61",1036,best_bic,1.33970355223058,0.0786290976975006,0.0786290976975006,0.148081939318928,2,0,0.0782840453110951,14.4691286674984,0.30509944041546,11.6729694828411,0.00485897664238503,5.10001126751773,0.00931133135538979,11.7160919451005,0.139005076369767,0.000719864811822384,11.9657006071333,0.000238591327861591,0.0628823342965192,-114.500717163,50.4050598145,n.a.
"62",1036,best_rmse,1.35690401711116,0.0951283873659783,0.0951283873659783,0.149956220195305,2,0,0.0511575016189525,11.4704870225282,0.0749129321817397,11.7697739424954,0.00662984212144979,6.97575482216213,0.0132485386506243,11.9700974379368,0.151569723566733,0.0651419860110791,0.145366538917816,0.013088713865483,21.2250537541389,-114.500717163,50.4050598145,n.a.
"63",1038,best_aic,2.61201043237604,-0.0139289308000626,-0.0139289308000626,-0.0128166070824671,2,0,0.0323402886849046,7.56863501404532,0.0518481611298794,8.74802991898886,0.00394044931760995,7.03442467466807,0.00716212332465655,9.46956483216254,-0.0757912892145984,0.00762296851433458,0.048032357124566,0.00695601204894033,12.1570208816208,-114.58870697,50.2852592468,n.a.
"64",1038,best_bic,2.66968993938588,-0.00278304685515206,-0.00278304685515206,-0.0141485409826766,2,0,0.0947519117685703,8.54052991680798,0.154196889212682,11.2558736389206,0.0159306896594565,6.12193592810225,0.027883786213317,9.96164783942533,-0.0652716479659181,0.0034619755908811,14.4803833252461,0.000776773700569037,0.0974467654191406,-114.58870697,50.2852592468,n.a.
"65",1038,best_rmse,2.64175638942035,-0.00144498682219201,-0.00144498682219201,-0.0212413166346445,2,0,0.0831807386151588,4.26158566840661,0.127418513012933,6.12342977725551,0.0180121792941652,8.51572232572502,0.0271493812588078,10.5492125729846,-0.0747142141592283,0.251259665051802,0.111683248944845,2.68102713710503e-06,6.38363244551871,-114.58870697,50.2852592468,n.a.
