"","catchment_no","criteria","n_windows","sd_windows","nrmse","r2","nse","kge","longitude","latitude","region"
"1877","1760","best_aic","3","0.408248290463863","1.74441310338318","0.138543147555892","0.138543147555892","0.0172649781022037","-82.15536","28.57277","NA"
"1878","1760","best_bic","2","0.489897948556636","1.66170203294846","0.172466826203469","0.172466826203469","0.0843200083103834","-82.15536","28.57277","NA"
"1879","1760","best_rmse","3","0.489897948556636","1.75859848644548","0.116778416528668","0.116778416528668","-0.00277079325974241","-82.15536","28.57277","NA"
"1880","1761","best_aic","3","0.435889894354067","1.42295349426546","0.221571139356887","0.221571139356887","0.169569303280185","-82.56056","30.68056","NA"
"1881","1761","best_bic","2","0.4","1.43062610287515","0.224768591277885","0.224768591277885","0.167527012692136","-82.56056","30.68056","NA"
"1882","1761","best_rmse","3","0.408248290463863","1.40281115204125","0.22933667509273","0.22933667509273","0.176193201806812","-82.56056","30.68056","NA"
"1883","1762","best_aic","2","0.489897948556636","1.43693738621046","0.257396023069717","0.257396023069717","0.186092134954598","-82.73818","30.32578","NA"
"1884","1762","best_bic","2","0.4","1.43215491609923","0.261318789543554","0.261318789543554","0.188025730159991","-82.73818","30.32578","NA"
"1885","1762","best_rmse","3","0.489897948556636","1.42025304520463","0.261697359446476","0.261697359446476","0.190340033144669","-82.73818","30.32578","NA"
"1886","1763","best_aic","3","0.509901951359279","1.30539978979007","0.336717778166255","0.336717778166255","0.274369564909727","-83.47181","30.09827","NA"
"1887","1763","best_bic","2","0.33166247903554","1.32443811745177","0.336922530256641","0.336922530256641","0.277563815907368","-83.47181","30.09827","NA"
"1888","1763","best_rmse","3","0.5","1.34564581659509","0.323860901586604","0.323860901586604","0.27041861318933","-83.47181","30.09827","NA"
"1889","1764","best_aic","3","0.458257569495584","1.31469921309667","0.543657511800287","0.543657511800287","0.536574352489981","-84.49435","30.12937","NA"
"1890","1764","best_bic","3","0.509901951359279","1.41093729991488","0.528326270295439","0.528326270295439","0.497944751547242","-84.49435","30.12937","NA"
"1891","1764","best_rmse","3","0.276887462097269","1.36945122589215","0.538267314481242","0.538267314481242","0.517314480719704","-84.49435","30.12937","NA"
"1892","1765","best_aic","1","0.936304793679209","2.29062485097254","0.322118770391205","0.322118770391205","0.434952438166784","-85.29577","32.01766","NA"
"1893","1765","best_bic","1","0.33166247903554","2.37946137752283","0.310858421538005","0.310858421538005","0.444772781164574","-85.29577","32.01766","NA"
"1894","1765","best_rmse","2","0.866025403784439","2.42078497966726","0.322714926192728","0.322714926192728","0.452357412720731","-85.29577","32.01766","NA"
"1895","1766","best_aic","3","0.489897948556636","1.90053914246064","0.272301486097656","0.272301486097656","0.359725453249527","-83.90222","32.19556","NA"
"1896","1766","best_bic","2","0.506622805119022","1.88371863753642","0.280331014744975","0.280331014744975","0.372661124581444","-83.90222","32.19556","NA"
"1897","1766","best_rmse","3","0.5","1.8909759951167","0.282491357475761","0.282491357475761","0.373574149015071","-83.90222","32.19556","NA"
"1898","1767","best_aic","3","0.509901951359279","0.8631048240451","0.409294017184029","0.409294017184029","0.592546458867731","-84.25333","31.76444","NA"
"1899","1767","best_bic","2","0.5","0.902404847598323","0.453622306164101","0.453622306164101","0.583858265895899","-84.25333","31.76444","NA"
"1900","1767","best_rmse","3","0.408248290463863","0.912234325706189","0.465336584218307","0.465336584218307","0.583373947123066","-84.25333","31.76444","NA"
"1901","1768","best_aic","3","0.374165738677394","0.949979817892438","0.502475685628872","0.502475685628872","0.667613492633628","-85.61049","31.34295","NA"
"1902","1768","best_bic","3","0.408248290463863","1.01662703394582","0.490859547519912","0.490859547519912","0.639461543603901","-85.61049","31.34295","NA"
"1903","1768","best_rmse","3","0.276887462097269","0.957485225295417","0.515614471621959","0.515614471621959","0.66727197036661","-85.61049","31.34295","NA"
"1904","1769","best_aic","3","0.435889894354067","1.89015735875387","0.269076984217589","0.269076984217589","0.332776825890678","-85.783","31.59489","NA"
"1905","1769","best_bic","2","0.5","1.78097080622417","0.192323611284572","0.192323611284572","0.331860260936771","-85.783","31.59489","NA"
"1906","1769","best_rmse","3","0.2","2.035053080194","0.292298290941874","0.292298290941874","0.319660182416907","-85.783","31.59489","NA"
"1907","1770","best_aic","3","0.458257569495584","1.03745102652754","0.453960464282668","0.453960464282668","0.701096834442201","-86.70996","31.02768","NA"
"1908","1770","best_bic","2","0.435889894354067","1.03548136340663","0.449978807661802","0.449978807661802","0.704947106286941","-86.70996","31.02768","NA"
"1909","1770","best_rmse","3","0.408248290463863","1.08048583214248","0.44404217198568","0.44404217198568","0.685655808024575","-86.70996","31.02768","NA"
"1910","1771","best_aic","3","0.33166247903554","1.14180318499048","0.482592049682521","0.482592049682521","0.498141458586914","-86.25162","31.5735","NA"
"1911","1771","best_bic","2","0.509901951359279","1.14954896831894","0.473654725571627","0.473654725571627","0.4935437094454","-86.25162","31.5735","NA"
"1912","1771","best_rmse","3","0.2","1.14646476879385","0.482915266501971","0.482915266501971","0.489592623671859","-86.25162","31.5735","NA"
"1913","1772","best_aic","3","0.408248290463863","1.14301007494515","0.48200836514613","0.48200836514613","0.529220831030297","-86.40552","31.59627","NA"
"1914","1772","best_bic","2","0.5","1.14685636738244","0.486396913119665","0.486396913119665","0.532188229827168","-86.40552","31.59627","NA"
"1915","1772","best_rmse","3","0","1.16177280888667","0.484647369558219","0.484647369558219","0.528884020126311","-86.40552","31.59627","NA"
"1916","1773","best_aic","2","0.509901951359279","0.838574117511911","0.551566935445217","0.551566935445217","0.608286327524164","-86.98664","31.4185","NA"
"1917","1773","best_bic","3","0.458257569495584","0.859033750856","0.54512746514491","0.54512746514491","0.609648096950209","-86.98664","31.4185","NA"
"1918","1773","best_rmse","2","0.5","0.85986655372657","0.537901705483187","0.537901705483187","0.606426302844336","-86.98664","31.4185","NA"
"1919","1774","best_aic","3","0.374165738677394","1.24836512013056","0.381159778312229","0.381159778312229","0.464195546327784","-84.46882","34.57037","NA"
"1920","1774","best_bic","3","0.276887462097269","1.22694248934629","0.385172350049643","0.385172350049643","0.476240223296506","-84.46882","34.57037","NA"
"1921","1774","best_rmse","3","0.408248290463863","1.23559835819073","0.386247796082776","0.386247796082776","0.467641682178381","-84.46882","34.57037","NA"
"1922","1775","best_aic","3","0.2","1.28416537806953","0.511128414457664","0.511128414457664","0.573089711238045","-84.72133","34.87202","NA"
"1923","1775","best_bic","3","0.374165738677394","1.28591104086211","0.513891018330745","0.513891018330745","0.571447958380025","-84.72133","34.87202","NA"
"1924","1775","best_rmse","3","0.33166247903554","1.25587430183143","0.514250459896534","0.514250459896534","0.592135383596759","-84.72133","34.87202","NA"
"1925","1776","best_aic","3","0.276887462097269","1.5973484206222","0.403042180798355","0.403042180798355","0.470865363499561","-84.88972","34.24278","NA"
