"","catchment_no","n_bad_runs","mean_kge","median_kge","AR_order","my_kge","country"
"1767","481",0,0.928677749210133,0.933613601307258,3,NA,"CA"
"1768","482",0,0.998661932683477,0.998628994538881,2,NA,"CA"
"1769","484",0,0.976371370765474,0.975530059971078,2,NA,"CA"
"1770","485",0,0.992915579860984,0.993109008466921,2,NA,"CA"
"1771","486",0,0.992913534924498,0.992799548769504,3,-0.0041026947615892,"CA"
"1772","487",0,0.998552022921671,0.998554936785814,4,0.239762775543972,"CA"
"1773","49",0,0.853709695177676,0.857628106899363,3,0.137811179220532,"CA"
"1774","490",0,0.977231088174965,0.977485390622351,2,-0.278792787281698,"CA"
"1775","491",0,0.99188845740386,0.991575231680729,2,0.269536054225336,"CA"
"1776","492",0,0.979555512308771,0.979531234597138,3,-0.150368908258955,"CA"
"1777","494",0,0.994634928084124,0.994428637189608,2,-0.0882197843911536,"CA"
"1778","496",0,0.992461969800453,0.992117316517262,3,-0.145729144834434,"CA"
"1779","497",0,0.997712463503698,0.997690895218696,2,0.224359008344642,"CA"
"1780","498",0,0.995528097583354,0.995601876003106,3,0.0174423380111324,"CA"
"1781","5",0,0.991643122765282,0.991582257782148,2,-0.26735174112928,"CA"
"1782","50",0,0.958329756873107,0.957823771162542,3,0.200176618338738,"CA"
"1783","500",0,0.981192510672797,0.981908967595667,3,0.587513407594484,"CA"
"1784","502",0,0.994360329523763,0.99439532418142,3,-0.207585460113306,"CA"
"1785","504",0,0.949566407350625,0.950690389957572,3,0.355279450560136,"CA"
"1786","506",0,0.982546850126301,0.98199631216281,3,-0.0717509410069925,"CA"
"1787","507",0,0.996914275654914,0.997230615283555,1,0.100498531570275,"CA"
"1788","51",0,0.973898681109617,0.972278714296393,2,0.0160855826960418,"CA"
"1789","510",0,0.982286946874584,0.982082457632774,3,-0.0834196108005392,"CA"
"1790","511",0,0.9816826126198,0.981535397524585,2,-0.198506340246128,"CA"
"1791","512",0,0.96110805393596,0.960875478885957,3,-0.251987917956245,"CA"
"1792","514",0,0.991335757550374,0.991698479399412,3,0.0793559432181666,"CA"
"1793","515",0,0.991605639407297,0.991612244329406,3,0.190465447500119,"CA"
"1794","516",0,0.990962004305932,0.990520601919745,3,0.608379953543716,"CA"
"1795","518",0,0.997014291128972,0.997058533932052,3,-0.151827685900257,"CA"
