gridcode,country,longitude,latitude,station_name,station_id,area_km2
266,CA,-84.4307174683,47.0625305176,NORBERG CREEK (SITE A) ABOVE BATCHAWANA RIVER,02BF005,10.5469255284055
268,CA,-84.5155563354,47.003528595,BATCHAWANA RIVER NEAR BATCHAWANA,02BF001,1292.50135509003
269,CA,-69.95806122,47.38111115,OUELLE (RIVIERE) PRES DE SAINT-GABRIEL-DE-KAMOURASKA,02PG022,798.702539509899
270,CA,-71.85443878,46.97166824,SAINTE-ANNE (RIVIERE) (BRAS DU NORD DE LA) EN AMONT,02PB006,694.039692895738
271,CA,-83.4168624878,46.9684181213,AUBINADONG RIVER ABOVE SESABIC CREEK,02CB003,1371.27442952365
272,CA,-71.1513900757,46.8941688538,"MONTMORENCY (RIVIERE) A 0,6 KM EN AVAL DU BARRAGE DES MARCHES NATURELLES",02PD002,864.574510587732
273,CA,-80.46324921,46.97142029,STURGEON RIVER AT UPPER GOOSE FALLS,02DC012,1236.81167862244
274,CA,-55.7761917114,46.8778114319,SALMONIER RIVER NEAR LAMALINE,02ZG003,116.820021420009
275,CA,-65.90738678,46.93597031,LITTLE SOUTHWEST MIRAMICHI RIVER AT LYTTLETON,01BP001,1298.80177544239
276,CA,-83.9718093872,46.8609390259,GOULAIS RIVER NEAR SEARCHMONT,02BF002,1135.54624084291
278,CA,-66.1901092529,46.8565597534,CATAMARAN BROOK AT REPAP ROAD BRIDGE,01BP002,24.7144585239124
281,CA,-64.18699646,46.7441101074,CARRUTHERS BROOK NEAR ST. ANTHONY,01CA003,48.948606137982
282,CA,-71.6888885498,46.6958312988,AUX POMMES  (RIVIERE) A 1.6KM EN AVAL DE LA NOIRE,02PC019,103.163961335778
284,CA,-68.5827789307,47.2374992371,FISH RIVER NEAR FORT KENT,01AE001,2249.66480852013
285,CA,-81.0092468262,46.6854400635,VERMILION RIVER NEAR VAL CARON,02CF011,735.306958634694
288,CA,-70.9605331421,46.7075309753,BOYER SUD (RIVIERE) AU PONT-ROUTE DU RANG GRANDE GRILLADE,02PH012,60.3268071692092
290,CA,-72.4047164917,46.5836105347,"BATISCAN (RIVIERE) A 3,4 KM EN AVAL DE LA RIVIERE DES ENVIES",02PA007,4268.49477823714
291,CA,-81.0329666138,46.610168457,WHITSON RIVER AT VAL CARON,02CF008,186.798949197158
293,CA,-84.4651794434,46.5158882141,BIG CARP RIVER NEAR SAULT STE. MARIE,02BF004,48.7685296232102
294,CA,-73.91416931,46.68582916,MATAWIN (RIVIERE) A SAINT-MICHEL-DES-SAINTS,02NF003,1389.12186791674
295,CA,-81.0984420776,46.4273109436,JUNCTION CREEK BELOW KELLEY LAKE,02CF012,210.324406074242
296,CA,-71.3388900757,46.5402793884,"BRAS D'HENRI (RIVIERE) A 2,3 KM DE LA BEAURIVAGE",02PJ034,149.93861034891
297,CA,-74.503326416,46.3747215271,"SAINT-LOUIS (RUISSEAU) A 0,3 KM DE LA RIVIERE DU DIABLE",02LC043,38.712839121621
298,CA,-67.7384414673,46.4383583069,BIG PRESQUE ISLE STREAM AT TRACEY MILLS,01AJ004,490.603448031096
300,CA,-73.6519393921,46.3394393921,NOIRE (RIVIERE) A SAINTE EMELIE DE L'ENERGIE,02OB032,189.894230941889
303,CA,-79.4483566284,46.3117790222,CHIPPEWA CREEK AT NORTH BAY,02DD014,31.5104724313882
304,CA,-65.0649414063,46.443939209,COAL BRANCH RIVER AT BEERSVILLE,01BS001,180.788202581187
305,CA,-71.28861237,46.65916824,BEAURIVAGE (RIVIERE) A SAINTE-ETIENNE,02PJ007,597.748290154944
306,CA,-63.3510818481,46.2313919067,WEST RIVER AT RIVERDALE,01CC005,70.6782272971843
307,CA,-65.7227478,46.29072189,SALMON RIVER AT CASTAWAY,01AN002,1017.86630523958
308,CA,-79.395111084,46.2634391785,LA VASE RIVER AT NORTH BAY,02DD013,64.9139647820648
309,CA,-67.47,46.34,BECAGUIMEC STREAM AT COLDSTREAM,01AJ010,349.131786603614
310,CA,-65.8256073,46.73600006,SOUTHWEST MIRAMICHI RIVER AT BLACKVILLE,01BO001,5107.54212906106
311,CA,-70.6397171,46.16416931,FAMINE (RIVIERE) A SAINT-GEORGES,02PJ030,695.663846731105
312,CA,-66.61131287,46.12591934,NASHWAAK RIVER AT DURHAM BRIDGE,01AL002,1466.87038979032
313,CA,-60.0046691895,46.1178894043,MACASKILLS BROOK NEAR BIRCH GROVE,01FJ002,17.4016758046271
314,CA,-74.1219406128,46.09582901,DONCASTER (RIVIERE) AU LAC ELEVE,02LC027,105.929545073944
315,CA,-67.2396087646,46.0487785339,NACKAWIC STREAM NEAR TEMPERANCE VALE,01AK007,246.885755635226
317,CA,-61.14,46.22,SOUTHWEST MARGAREE RIVER NEAR UPPER MARGAREE,01FB003,358.494048337133
